col_id,edition_catalog_id
20,1958
20,19540
21,1960
21,19539
23,1961
23,19535
24,1957
24,19541
26,1956
26,19551
28,1972
28,19549
329,8467
329,31349
330,8466
330,29903
331,8468
331,24635
331,8471
331,24641
332,8464
332,29898
332,8476
332,24650
332,8465
332,29901
333,8469
333,24644
334,8478
334,29896
335,8477
335,24657
336,8473
336,24645
502,8294
502,24543
503,8293
503,32072
505,8299
505,24541
506,8298
506,24538
507,8300
507,24533
508,8304
508,24537
509,8302
509,24539
512,8303
512,24546
513,8307
513,24526
514,8308
514,24529
515,8306
515,24548
516,8305
516,27300
517,8309
517,24530
518,1928
518,19503
519,1930
519,19461
520,1929
520,19506
521,1932
521,19516
522,1931
522,19504
522,1933
522,19510
523,1934
523,19513
524,1935
524,19529
525,1936
525,19509
526,1937
526,19526
527,1938
527,19525
528,17646
528,29174
529,17647
529,29187
530,17648
530,29160
557,10592
557,32845
558,10594
558,25679
559,10595
559,32832
560,10596
560,32839
561,10597
561,32860
562,10597
562,32860
563,10599
563,32849
564,10599
564,32849
565,10598
565,32847
566,10591
566,25689
567,10593
567,32844
568,10588
568,25684
569,10587
569,25680
570,10584
570,32842
571,10589
571,25681
572,10586
572,25682
573,10590
573,25688
574,11009
574,30065
575,11005
575,25927
576,11014
576,25939
577,11012
577,25936
578,11016
578,30064
579,11020
579,25942
580,11019
580,30058
581,11021
581,30062
582,11022
582,25941
583,11023
583,25940
584,11024
584,25935
585,11025
585,30059
586,11026
586,29486
588,11029
588,25963
589,11027
589,25946
590,11028
590,25982
591,11030
591,25956
592,11031
592,25952
593,11033
593,30069
594,11034
594,30063
595,11032
595,25944
596,11050
596,25979
597,11035
597,25958
598,11036
598,25965
599,11037
599,25966
600,11038
600,25968
601,11041
601,25947
602,11042
602,25948
603,11039
603,30061
604,11040
604,30060
605,11043
605,29488
606,11044
606,29491
607,11047
607,25972
608,11046
608,25970
609,11052
609,25961
610,11049
610,25977
611,11048
611,25975
612,11045
612,25954
653,5054
653,22644
654,5055
654,22635
655,713
655,18317
656,713
656,18317
657,3719
657,21310
657,3723
657,21289
658,3738
658,21299
659,3721
659,21308
660,3727
660,21293
661,3726
661,21288
662,3731
662,21354
662,3736
662,21355
663,3737
663,21280
664,3729
664,21286
664,3730
664,21300
664,3733
664,21283
666,3734
666,21347
667,3734
667,21347
668,3740
668,21294
669,1641
669,19214
670,1641
670,19214
671,1642
671,19216
671,1645
671,19201
671,1643
671,19220
672,1640
672,19203
674,1646
674,19222
675,1644
675,19218
676,1639
676,19210
677,3639
677,21224
678,3643
678,21187
679,3641
679,21220
679,3642
679,21215
680,3641
680,21220
680,3642
680,21215
681,3641
681,21220
681,3642
681,21215
682,3644
682,21228
683,3645
683,21230
684,3647
684,21233
685,578
685,18138
686,576
686,18158
686,577
686,18146
686,580
686,18161
687,581
687,18165
687,582
687,18154
688,10202
688,25517
689,10203
689,25508
689,10206
689,32712
689,10207
689,32714
700,13052
700,30236
701,13053
701,30234
703,13056
703,26995
704,13057
704,26986
705,13058
705,31556
707,12805
707,26868
708,12806
708,26869
709,12804
709,26865
710,12804
710,26865
711,12804
711,26865
712,12809
712,30198
713,12807
713,30210
714,12813
714,30195
715,12808
715,30201
716,12810
716,30207
717,13051
717,30238
718,12812
718,30208
719,12811
719,30202
721,13054
721,27429
722,13055
722,31550
727,13059
727,26993
728,13060
728,26989
729,13061
729,31555
730,13062
730,26991
731,13069
731,30235
732,13066
732,31544
733,13068
733,31558
734,13063
734,31549
735,13064
735,31546
736,13067
736,26988
738,13071
738,30237
739,13065
739,31541
740,13070
740,30241
741,13073
741,26987
742,13072
742,26992
743,13074
743,26990
744,13075
744,26985
745,13076
745,26994
746,12723
746,26802
747,12724
747,26799
748,12725
748,26801
749,6716
749,29784
749,6712
749,31069
750,6721
750,29313
751,6711
751,31072
752,6742
752,29308
753,6714
753,23594
754,6746
754,23595
755,6720
755,23590
756,6715
756,31065
757,6713
757,23602
760,5229
760,22830
761,5208
761,22794
762,5225
762,22821
763,5207
763,22785
764,5215
764,22798
764,5236
764,22812
765,5213
765,22763
765,5216
765,22776
765,5232
765,22831
766,5209
766,22770
767,5217
767,22778
767,5231
767,22805
767,5210
767,22762
768,5238
768,22810
769,5223
769,22825
770,5212
770,22766
771,5222
771,22801
772,5206
772,22793
773,5214
773,22773
774,5221
774,22823
775,5224
775,22827
776,5228
776,22828
777,5228
777,22828
778,5218
778,22780
779,5220
779,22792
780,5226
780,22832
781,5211
781,22768
782,5235
782,22815
784,5244
784,22820
785,5240
785,22818
786,5234
786,22809
787,5230
787,22803
789,5227
789,22829
790,5233
790,22816
792,5239
792,22807
793,5219
793,22781
794,1232
794,18796
797,1233
797,18799
798,9982
798,25397
798,9981
798,25414
799,1625
799,19217
800,1625
800,19217
801,1625
801,19217
802,1625
802,19217
803,9979
803,32624
807,154
807,17758
807,155
807,17756
808,154
808,17758
808,155
808,17756
808,156
808,17782
808,160
808,17773
808,159
808,17743
808,157
808,17757
808,161
808,17713
808,158
808,17749
826,8417
826,24624
827,8421
827,24618
828,8429
828,24631
829,8420
829,27307
830,4690
830,22278
831,4947
831,22532
831,4946
831,22507
832,4947
832,22532
832,4946
832,22507
832,4917
832,22495
833,4904
833,22500
834,4902
834,22493
835,4901
835,22466
835,4903
835,22467
836,4912
836,22491
837,4911
837,22484
837,4918
837,22482
838,4913
838,22483
839,4907
839,22481
840,4909
840,22487
841,4897
841,22489
842,4898
842,22473
843,4914
843,22486
844,4906
844,22499
845,4896
845,22496
846,4908
846,22477
847,4915
847,22490
848,4945
848,22529
849,4921
849,22497
850,4920
850,22494
852,8848
852,24790
853,4919
853,22465
855,4937
855,22515
855,4938
855,22527
856,4937
856,22515
856,4938
856,22527
857,4953
857,22531
858,4951
858,22508
858,4952
858,22528
859,4949
859,22524
859,4950
859,22504
860,4942
860,22520
860,4939
860,22536
860,4940
860,22517
860,4941
860,22501
861,4943
861,22505
862,4957
862,22511
863,4956
863,22556
864,4961
864,22549
865,4967
865,22548
866,4963
866,22558
867,4971
867,22543
868,4968
868,22564
869,4969
869,22574
870,4972
870,22544
872,4970
872,22546
873,4974
873,22554
874,4962
874,22545
875,4976
875,22551
876,4975
876,22541
877,4977
877,22557
878,4999
878,22604
880,4979
880,22563
881,4980
881,22609
882,4981
882,22610
883,4982
883,22542
884,4983
884,22540
885,4978
885,22555
886,4984
886,22583
887,4992
887,22567
888,4985
888,22569
890,4986
890,22552
891,4987
891,22560
892,4988
892,22572
893,4989
893,22561
894,4990
894,22562
895,4991
895,22568
896,5001
896,22605
900,4997
900,22566
901,4996
901,22571
902,4998
902,22537
906,1126
906,1130
906,18703
906,18724
906,1121
906,18680
908,1122
908,18710
909,1123
909,18712
910,1124
910,18683
921,1127
921,18687
923,1131
923,18731
926,1132
926,18693
928,1129
928,18696
929,8538
929,24675
930,8535
930,32115
931,8537
931,32113
932,8536
932,24659
933,8540
933,24671
934,8539
934,24673
935,8548
935,24688
936,8541
936,24683
937,8546
937,24681
938,8549
938,32107
939,8544
939,32116
940,8547
940,32120
941,8543
941,32111
942,4693
942,22256
943,4693
943,22256
944,4691
944,22248
945,4695
945,22289
946,4694
946,22282
947,4699
947,22286
948,6164
948,30856
949,6166
949,29765
949,6165
949,30859
950,6166
950,29765
950,6165
950,30859
951,6168
951,30855
951,6169
951,30858
952,7035
952,23768
953,7032
953,23799
954,7036
954,23777
955,8533
955,24662
956,8534
956,24689
957,3741
957,21334
958,3741
958,21334
959,3742
959,21282
960,3744
960,21307
961,1040
961,18631
963,1036
963,18638
964,1037
964,18647
965,1038
965,18623
966,1039
966,18629
967,8275
967,32068
967,8274
967,32063
968,8275
968,32068
968,8274
968,32063
969,8275
969,32068
969,8274
969,32063
970,8761
970,32248
971,8278
971,32069
972,8278
972,32069
973,8279
973,24534
974,8277
974,32065
975,8783
975,24763
976,8783
976,24763
977,8783
977,24763
978,8783
978,24763
979,8785
979,32273
980,8785
980,32273
981,8789
981,24765
982,12144
982,33194
983,11714
983,26288
984,12148
984,33170
985,11726
985,26347
988,11728
988,26351
997,12841
997,26894
1001,11686
1001,26285
1002,11702
1002,26332
1003,12851
1003,31533
1004,11687
1004,26290
1005,11688
1005,33475
1006,11689
1006,26337
1007,11693
1007,26328
1008,11692
1008,33473
1009,11690
1009,26281
1010,11691
1010,26293
1011,11694
1011,33471
1012,11695
1012,26314
1013,11696
1013,26291
1014,11697
1014,26340
1015,11718
1015,26331
1016,11701
1016,26339
1017,11699
1017,26322
1018,11700
1018,26294
1019,11698
1019,26301
1020,11720
1020,26329
1021,11704
1021,26296
1022,11713
1022,26284
1023,11719
1023,26305
1024,11703
1024,26344
1025,11716
1025,26336
1026,11705
1026,26335
1027,11709
1027,33477
1028,11711
1028,26316
1029,11710
1029,26298
1031,11708
1031,26333
1032,11707
1032,26325
1033,3627
1033,21202
1034,3626
1034,21219
1035,3625
1035,21204
1040,3635
1040,21190
1041,3637
1041,21194
1042,410
1042,17984
1043,411
1043,17979
1044,408
1044,17989
1045,409
1045,18007
1046,7308
1046,23982
1047,7308
1047,23982
1049,8782
1049,32283
1050,8780
1050,24762
1051,8781
1051,32292
1052,8776
1052,32252
1055,8778
1055,24748
1056,8779
1056,24759
1063,7421
1063,24012
1064,7431
1064,29362
1065,7426
1065,27281
1066,7425
1066,29356
1067,7432
1067,29365
1068,8629
1068,32144
1069,7435
1069,24090
1076,7439
1076,24092
1077,7437
1077,24070
1078,7438
1078,24102
1079,7440
1079,24104
1080,9267
1080,25065
1081,7444
1081,24106
1082,7441
1082,24075
1083,7441
1083,24075
1084,7434
1084,9266
1084,24077
1084,25072
1085,8636
1085,24714
1086,8636
1086,24714
1087,7442
1087,24109
1088,7442
1088,24109
1089,7443
1089,24096
1090,8498
1090,24653
1112,661
1112,18237
1113,659
1113,18245
1114,659
1114,18245
1119,7010
1119,23796
1120,7011
1120,23807
1121,7012
1121,23776
1122,7014
1122,23817
1123,7013
1123,23805
1124,7018
1124,23770
1125,7017
1125,23766
1126,7020
1126,31164
1127,7019
1127,31163
1128,7016
1128,23813
1129,7015
1129,23758
1130,7021
1130,23754
1131,7022
1131,31166
1132,7024
1132,23753
1133,7023
1133,23751
1134,7023
1134,23751
1135,7025
1135,23781
1136,7026
1136,23823
1137,7027
1137,23782
1138,7028
1138,23778
1139,6970
1139,23714
1139,6972
1139,23719
1140,6971
1140,31143
1141,6975
1141,31151
1142,6974
1142,23743
1143,6973
1143,23744
1144,6973
1144,23744
1145,6976
1145,23708
1146,6980
1146,23709
1147,6981
1147,23712
1148,6978
1148,23734
1149,6977
1149,31148
1150,6979
1150,23720
1151,6986
1151,23742
1152,6983
1152,23738
1153,6985
1153,23741
1154,6984
1154,31150
1155,6982
1155,23740
1156,6987
1156,23749
1159,7293
1159,23968
1160,7293
1160,23968
1161,7303
1161,23985
1163,7305
1163,31238
1164,7304
1164,31233
1165,7301
1165,23981
1166,7296
1166,23965
1167,7296
1167,23965
1168,7296
1168,23965
1169,7310
1169,31241
1170,7288
1170,23964
1171,7307
1171,23983
1172,7291
1172,23972
1173,7289
1173,23971
1175,7302
1175,23975
1176,7300
1176,23980
1177,7299
1177,23973
1178,7292
1178,23969
1179,7306
1179,31239
1181,7358
1181,23988
1182,7351
1182,23998
1183,7359
1183,24020
1184,7355
1184,31255
1185,7346
1185,24006
1186,7338
1186,31249
1187,7339
1187,23990
1188,7345
1188,24004
1189,7340
1189,23995
1190,7342
1190,23993
1192,7341
1192,23991
1194,7350
1194,24002
1195,7354
1195,31253
1196,7344
1196,24001
1197,7349
1197,23996
1198,7343
1198,31244
1199,7357
1199,24016
1200,8833
1200,32295
1201,7356
1201,23997
1213,6996
1213,31149
1214,6996
1214,31149
1214,6999
1214,31152
1215,459
1215,6997
1215,18023
1215,23750
1216,460
1216,6998
1216,18034
1216,31160
1217,461
1217,7000
1217,18027
1217,31154
1219,6990
1219,7463
1219,24098
1219,31156
1220,6991
1220,7464
1220,24100
1220,31162
1221,6992
1221,31158
1221,6994
1221,23748
1222,6995
1222,31161
1223,6995
1223,31161
1224,6993
1224,23747
1226,5309
1226,5311
1226,22863
1226,22866
1227,5310
1227,5311
1227,22866
1227,22894
1228,5310
1228,5311
1228,22866
1228,22894
1229,5307
1229,22904
1230,5308
1230,22903
1239,1235
1239,18817
1240,1235
1240,18817
1241,1236
1241,18818
1242,1237
1242,18816
1243,1238
1243,18824
1250,6702
1250,29312
1251,6704
1251,23599
1252,6703
1252,29791
1253,6701
1253,23591
1254,6700
1254,29780
1255,6698
1255,29323
1256,6706
1256,29775
1257,6707
1257,29790
1258,10308
1258,30002
1259,6708
1259,23596
1260,6745
1260,29311
1261,10300
1261,25548
1266,667
1266,18235
1267,668
1267,18277
1268,668
1268,18277
1269,669
1269,18249
1271,672
1271,18248
1272,674
1272,18257
1274,676
1274,18250
1274,675
1274,18251
1275,679
1275,18255
1276,683
1276,18275
1277,681
1277,18260
1278,684
1278,18268
1279,678
1279,18252
1280,682
1280,18261
1281,677
1281,18262
1282,685
1282,18263
1283,686
1283,18256
1284,687
1284,18276
1285,726
1285,18297
1286,729
1286,18301
1287,727
1287,18287
1288,728
1288,18293
1289,734
1289,18308
1290,730
1290,18290
1291,14642
1291,27780
1298,14694
1298,27807
1299,14695
1299,27808
1300,14702
1300,27861
1301,14699
1301,27819
1302,14700
1302,27832
1303,14692
1303,27810
1304,14701
1304,27815
1305,14698
1305,33378
1306,14703
1306,27829
1307,14704
1307,27821
1308,14708
1308,27856
1309,14715
1309,27824
1310,14707
1310,27855
1311,14709
1311,27820
1312,14706
1312,27830
1313,14705
1313,27814
1314,14710
1314,27828
1315,14718
1315,27854
1316,14721
1316,27840
1317,14714
1317,27857
1318,14711
1318,27844
1319,14719
1319,27822
1320,14717
1320,29638
1321,14712
1321,27836
1322,14720
1322,27817
1323,14716
1323,27818
1324,14713
1324,27813
1325,1135
1325,18705
1328,1138
1328,18708
1329,1138
1329,18708
1330,6953
1330,31146
1331,6954
1331,31142
1333,6957
1333,23725
1334,6967
1334,23715
1335,6956
1335,23711
1336,6958
1336,23710
1337,6963
1337,31145
1338,6959
1338,23722
1339,6960
1339,23724
1340,6961
1340,23730
1341,6964
1341,23726
1342,6965
1342,23728
1344,6968
1344,23736
1345,6969
1345,23717
1348,8828
1348,24781
1350,8831
1350,24776
1351,8830
1351,24828
1357,11321
1357,32998
1357,5688
1357,30684
1358,5687
1358,23094
1359,7329
1359,23986
1360,7330
1360,31243
1361,7332
1361,23987
1362,7331
1362,31245
1363,7333
1363,31250
1364,7335
1364,23957
1365,7336
1365,31251
1366,7337
1366,23992
1367,7334
1367,31252
1368,7501
1368,24119
1369,7500
1369,24115
1370,7500
1370,24115
1371,7498
1371,29375
1372,7499
1372,24121
1373,7504
1373,24085
1374,7503
1374,29794
1375,7502
1375,29796
1378,7507
1378,29378
1379,7507
1379,29378
1380,7508
1380,29376
1381,7505
1381,24081
1382,7510
1382,29377
1383,7506
1383,29792
1384,7514
1384,29810
1385,7509
1385,29379
1386,7512
1386,29803
1387,7513
1387,29800
1388,7511
1388,24083
1389,7517
1389,29807
1390,7519
1390,29799
1391,7518
1391,29802
1392,7520
1392,29798
1393,7521
1393,29797
1394,7516
1394,29814
1395,7515
1395,29811
1396,7525
1396,29795
1397,7522
1397,29806
1398,7524
1398,29809
1399,7523
1399,29805
1400,7528
1400,24123
1401,7526
1401,29829
1402,7315
1402,31234
1402,7316
1402,29354
1402,7314
1402,31232
1403,7322
1403,23979
1406,7319
1406,31237
1407,7317
1407,31236
1408,7320
1408,23974
1409,7323
1409,23978
1410,7324
1410,23976
1411,7328
1411,31242
1412,7327
1412,31248
1413,7326
1413,31247
1414,7325
1414,31246
1415,112
1415,27213
1416,112
1416,27213
1417,111
1417,27211
1418,113
1418,27206
1419,114
1419,27215
1425,6725
1425,6736
1425,6741
1425,6747
1425,10637
1425,10642
1425,10651
1425,12980
1425,23601
1425,23603
1425,23606
1425,29309
1425,32865
1425,32880
1425,32885
1425,33640
1426,6717
1426,6735
1426,6743
1426,6760
1426,10640
1426,10643
1426,10650
1426,12979
1426,23622
1426,25700
1426,25711
1426,29310
1426,29781
1426,31068
1426,32866
1426,33642
1427,6731
1427,6750
1427,6752
1427,6772
1427,10648
1427,23607
1427,23608
1427,25702
1427,31071
1427,32884
1428,6729
1428,6733
1428,6739
1428,29314
1428,31070
1428,31073
1429,6722
1429,6757
1429,10664
1429,23611
1429,25697
1429,29782
1430,6726
1430,6756
1430,29316
1430,31079
1431,6723
1431,29306
1432,6727
1432,23604
1433,6727
1433,23604
1434,6730
1434,6755
1434,23613
1434,31074
1437,6738
1437,6748
1437,23609
1437,31076
1438,6753
1438,6763
1438,23614
1438,23623
1439,6754
1439,6764
1439,23618
1439,31091
1656,10675
1656,10679
1656,10685
1656,25718
1656,25722
1656,25733
1680,6865
1680,23687
1680,6864
1680,23674
1681,6866
1681,23676
1682,6868
1682,29345
1682,6871
1682,29347
1682,6870
1682,23680
1682,6869
1682,23685
1683,6869
1683,23685
1684,6867
1684,23678
1685,6875
1685,29346
1686,6872
1686,29351
1687,6899
1687,31116
1688,6898
1688,23693
1689,6900
1689,31129
1690,6903
1690,23695
1691,6901
1691,23684
1692,6902
1692,23692
1693,6904
1693,31117
1694,6905
1694,23696
1695,6907
1695,29341
1696,6906
1696,29337
1697,6906
1697,29337
1698,6908
1698,29339
1699,6913
1699,23698
1700,6909
1700,31121
1701,6912
1701,23697
1702,6910
1702,31124
1703,6911
1703,31131
1710,7004
1710,31153
1711,7003
1711,23752
1712,7006
1712,31157
1715,1683
1715,19272
1716,1684
1716,19240
1717,1681
1717,19271
1718,1685
1718,19275
1719,1686
1719,19266
1719,1688
1719,19236
1720,1687
1720,19273
1721,1682
1721,19263
1722,1693
1722,19267
1723,1692
1723,19274
1724,1691
1724,19269
1725,1689
1725,19238
1726,1690
1726,19268
1727,1697
1727,19279
1728,1695
1728,19296
1729,1694
1729,19251
1730,1696
1730,19253
1731,7009
1731,23808
1731,7008
1731,31159
1732,7007
1732,23745
1733,10383
1733,25576
1734,10385
1734,25587
1735,10386
1735,25585
1736,10384
1736,25579
1773,881
1773,18466
1773,900
1773,18455
1774,899
1774,18450
1774,896
1774,18485
1774,898
1774,18454
1775,897
1775,18447
1776,895
1776,18472
1776,892
1776,18460
1777,891
1777,18481
1777,894
1777,18473
1777,893
1777,18474
1778,890
1778,18476
1778,904
1778,18491
1778,889
1778,18483
1778,888
1778,18479
1778,901
1778,18480
1779,905
1779,18504
1780,906
1780,18495
1781,902
1781,18482
1782,4374
1782,21940
1783,4375
1783,21944
1784,4376
1784,21938
1787,547
1787,18115
1788,548
1788,18116
1788,549
1788,18118
1789,8663
1789,32203
1790,8664
1790,32201
1791,8665
1791,32204
1796,8667
1796,32194
1797,8671
1797,32197
1798,8673
1798,32205
1799,9242
1799,25030
1800,9243
1800,25038
1804,9245
1804,25056
1805,9244
1805,32313
1806,9248
1806,25040
1807,9247
1807,32319
1808,9246
1808,25032
1809,9249
1809,25051
1810,9251
1810,25055
1811,9250
1811,25024
1813,1997
1813,19598
1813,1998
1813,19596
1813,1993
1813,19599
1814,6858
1814,23648
1815,6858
1815,23648
1816,6858
1816,23648
1826,6880
1826,23671
1832,6880
1832,23671
1835,6880
1835,23671
1837,6880
1837,23671
1842,10278
1842,25541
1843,10278
1843,25541
1844,10278
1844,25541
1850,6885
1850,23683
1851,2027
1851,19622
1852,1983
1852,19605
1853,1992
1853,19559
1854,1989
1854,19568
1855,1996
1855,19604
1856,2000
1856,19558
1858,1991
1858,19592
1859,1984
1859,19553
1860,10579
1860,32836
1861,10580
1861,32831
1862,10570
1862,32841
1864,2003
1864,19561
1865,2016
1865,19585
1866,2019
1866,19576
1867,1994
1867,19608
1870,2012
1870,19569
1871,2015
1871,19581
1872,2010
1872,19570
1873,2009
1873,19595
1874,2005
1874,19578
1875,2026
1875,19620
1876,2025
1876,19591
1877,2035
1877,19615
1878,2030
1878,19625
1879,2039
1879,19613
1880,2040
1880,19617
1881,2038
1881,19616
1882,2041
1882,19610
1883,2052
1883,19629
1884,2077
1884,19658
1885,2053
1885,19628
1886,2059
1886,19641
1887,2061
1887,19637
1888,2060
1888,19634
1890,2065
1890,19648
1891,2063
1891,19652
1892,2071
1892,19654
1893,2076
1893,19651
1894,2073
1894,19657
1895,2078
1895,19656
1896,2070
1896,19660
1897,2007
1897,19565
1898,10575
1898,32834
1899,6881
1899,23689
1900,6852
1900,23649
1901,6857
1901,23677
1902,1987
1902,19597
1903,1985
1903,19555
1904,1990
1904,19564
1905,2004
1905,19587
1906,2006
1906,19602
1907,2022
1907,19580
1908,2042
1908,19614
1909,2043
1909,19575
1910,2044
1910,19586
1911,2049
1911,19635
1912,2054
1912,19631
1913,2051
1913,19618
1914,2045
1914,19589
1915,2064
1915,19646
1916,2066
1916,19642
1917,2056
1917,19630
1918,2074
1918,19640
1919,2067
1919,19653
1920,2069
1920,19662
1921,599
1921,18177
1922,596
1922,18200
1923,602
1923,18189
1924,605
1924,4378
1924,18180
1924,21945
1925,600
1925,18174
1926,600
1926,18174
1927,600
1927,18174
1928,4379
1928,21964
1929,4377
1929,21958
1930,606
1930,18181
1931,4383
1931,21969
1932,4383
1932,21969
1933,4383
1933,21969
1934,4383
1934,21969
1935,4383
1935,21969
1936,4383
1936,21969
1937,4393
1937,21965
1938,607
1938,18205
1939,4398
1939,21980
1940,4388
1940,21961
1941,4391
1941,21963
1942,4392
1942,21962
1943,4397
1943,21968
1945,4380
1945,21970
1946,1241
1946,18814
1947,1242
1947,18855
1948,1245
1948,18825
1950,5600
1950,23060
1951,5601
1951,23061
1952,5603
1952,23077
1953,5603
1953,23077
1954,5605
1954,23062
1955,5610
1955,23073
1956,5606
1956,23064
1957,5589
1957,23044
1958,5589
1958,23044
1960,5595
1960,23063
1961,5595
1961,23063
1962,5593
1962,23059
1963,5593
1963,23059
1964,5599
1964,23074
1965,5604
1965,23066
1966,5598
1966,23042
1971,1662
1971,19235
1972,1662
1972,19235
1977,334
1977,17910
1978,2126
1978,19711
1984,333
1984,17888
1985,333
1985,17888
1986,344
1986,17913
1987,1727
1987,19299
1988,341
1988,17934
1989,345
1989,17917
1990,346
1990,17889
1993,1379
1993,18947
1994,5266
1994,22838
1995,5266
1995,22838
1996,5272
1996,22835
1997,5272
1997,22835
1998,5574
1998,23013
1999,5574
1999,23013
2000,5587
2000,30648
2001,11580
2001,33070
2002,4401
2002,21982
2003,4402
2003,21955
2004,4403
2004,21995
2005,4404
2005,21985
2006,4404
2006,21985
2007,4409
2007,21983
2008,4408
2008,21988
2009,4411
2009,21978
2010,4412
2010,21994
2011,4410
2011,21981
2012,215
2012,17796
2013,215
2013,17796
2014,216
2014,17802
2015,216
2015,17802
2016,217
2016,17798
2017,217
2017,17798
2018,8206
2018,32042
2019,8204
2019,32041
2020,8205
2020,24476
2022,1676
2022,19250
2023,1676
2023,19250
2024,1677
2024,19252
2026,83
2026,27178
2027,82
2027,27159
2028,85
2028,27192
2029,84
2029,27189
2030,81
2030,27217
2031,8283
2031,24535
2032,8281
2032,32067
2033,8284
2033,27301
2034,10531
2034,25666
2035,10532
2035,32800
2036,10533
2036,25674
2037,10536
2037,25665
2038,10534
2038,32799
2039,10537
2039,25685
2040,5070
2040,22680
2041,5066
2041,22648
2042,5068
2042,22627
2043,5073
2043,22654
2044,5072
2044,22683
2045,5072
2045,22683
2046,5069
2046,22638
2047,5074
2047,22681
2048,5077
2048,22656
2049,5079
2049,22685
2050,5075
2050,22651
2051,5078
2051,22653
2052,5076
2052,22655
2053,5080
2053,22652
2054,5082
2054,22657
2055,5084
2055,22669
2056,5083
2056,22665
2057,5081
2057,22663
2058,5086
2058,22682
2059,5090
2059,22677
2060,5089
2060,22676
2061,11583
2061,33077
2064,11591
2064,26256
2065,11590
2065,33067
2066,11592
2066,33111
2067,11593
2067,33068
2068,11594
2068,26254
2069,11588
2069,33072
2070,11587
2070,33074
2071,11589
2071,33098
2072,86
2072,27194
2073,87
2073,27193
2074,88
2074,27186
2075,89
2075,27208
2076,11408
2076,26165
2077,11402
2077,29505
2078,11406
2078,26166
2079,11398
2079,26173
2080,11409
2080,33015
2081,11401
2081,26160
2082,11407
2082,26168
2084,11397
2084,29501
2085,11404
2085,33016
2090,6895
2090,23681
2092,2322
2092,19900
2093,2091
2093,19669
2094,2091
2094,19669
2095,2327
2095,19908
2096,2326
2096,19897
2097,2331
2097,19902
2098,2336
2098,19905
2099,2328
2099,19898
2100,2332
2100,19922
2101,2338
2101,19928
2103,2335
2103,19917
2104,2337
2104,19921
2105,2329
2105,19865
2107,2334
2107,19930
2108,2333
2108,19929
2109,5354
2109,22912
2111,5355
2111,30557
2112,5358
2112,22923
2113,5356
2113,22946
2114,5357
2114,22945
2115,5359
2115,22920
2116,5360
2116,22933
2117,5361
2117,30552
2118,5362
2118,30565
2119,9339
2119,25096
2120,9338
2120,32339
2121,9340
2121,25100
2123,9336
2123,25107
2124,9335
2124,32365
2126,9330
2126,25095
2127,9332
2127,32343
2128,9331
2128,32349
2129,8286
2129,32074
2130,8282
2130,24549
2133,9328
2133,25103
2135,7392
2135,24044
2135,7391
2135,24041
2136,7391
2136,24041
2137,7393
2137,24042
2137,7390
2137,24035
2138,7393
2138,24042
2138,7390
2138,24035
2139,7393
2139,24042
2139,7390
2139,24035
2140,7394
2140,31259
2141,7394
2141,31259
2142,11466
2142,26199
2143,11468
2143,33024
2145,6797
2145,23629
2146,6798
2146,23631
2147,6799
2147,31097
2148,6799
2148,31097
2148,6800
2148,23630
2149,6801
2149,23642
2150,6803
2150,23635
2151,6802
2151,31098
2152,6789
2152,23636
2153,6789
2153,23636
2154,6788
2154,31082
2155,6790
2155,31107
2156,6792
2156,31095
2157,6791
2157,31080
2158,6793
2158,31092
2159,6795
2159,31094
2160,6794
