edition_catalog_id,col_id
759,21
20768,21
760,23
20740,23
756,24
20788,24
757,25
20777,25
755,26
20749,26
772,28
20804,28
782,329
20800,329
783,330
20802,330
784,331
20799,331
785,331
20809,331
780,332
20782,332
791,332
20807,332
781,332
20785,332
786,333
20797,333
789,334
20801,334
790,335
20805,335
788,336
20803,336
967,502
20974,502
966,503
20981,503
968,504
20976,504
984,505
21003,505
983,506
20992,506
985,507
20997,507
986,508
21004,508
987,509
20999,509
989,512
20995,512
992,513
21075,513
993,514
21047,514
991,515
21055,515
990,516
21051,516
994,517
21049,517
995,518
21046,518
997,519
21067,519
996,520
21064,520
999,521
21007,521
998,522
21050,522
1000,522
21070,522
1001,523
21068,523
1002,524
21056,524
1003,525
21009,525
1005,526
21053,526
1004,527
21054,527
1006,528
21052,528
1007,529
21048,529
1008,530
21063,530
1009,531
21033,531
1010,532
21059,532
1011,533
21027,533
1012,534
21017,534
1013,535
21083,535
1017,536
21034,536
1014,537
21073,537
1015,538
21058,538
1016,539
21035,539
1033,540
21039,540
1032,541
21040,541
1035,542
21042,542
1034,543
21069,543
1036,544
21021,544
1037,545
21057,545
1040,546
21086,546
1042,547
21037,547
1041,548
21084,548
1038,549
21060,549
1039,550
21087,550
1046,551
21041,551
1047,552
21044,552
1045,553
21036,553
1043,554
21011,554
1044,555
21010,555
1108,556
21113,556
1109,557
21119,557
1110,558
21117,558
1111,559
21123,559
1112,560
21120,560
1113,561
21140,561
1113,562
21140,562
1115,563
21136,563
1115,564
21136,564
1114,565
21146,565
1116,566
21144,566
1117,567
21142,567
1122,568
21148,568
1121,569
21077,569
1119,570
21149,570
1123,571
21127,571
1120,572
21079,572
1124,573
21125,573
1126,574
21135,574
1133,578
21154,578
1069,579
21080,579
1070,580
21092,580
1071,581
21094,581
1072,582
21100,582
1073,583
21088,583
1074,584
21095,584
1075,585
21096,585
1076,586
21091,586
1081,587
21093,587
1079,588
21101,588
1077,589
21098,589
1078,590
21106,590
1080,591
21089,591
1082,592
21097,592
1083,593
21102,593
1085,594
21129,594
1084,595
21105,595
1101,596
21111,596
1086,597
21131,597
1087,598
21132,598
1088,599
21110,599
1089,600
21099,600
1092,601
21104,601
1093,602
21108,602
1090,603
21103,603
1091,604
21114,604
1094,605
21109,605
1095,606
21118,606
1098,607
21121,607
1097,608
21112,608
1100,610
21115,610
1099,611
21116,611
1096,612
21107,612
1547,629
21559,629
1554,630
21570,630
1556,631
21613,631
1573,633
21618,633
1566,634
21609,634
1564,635
21623,635
1564,636
21623,636
1565,637
21624,637
1551,638
21547,638
1559,639
21612,639
1545,640
21569,640
1546,641
21567,641
1572,642
21619,642
1570,643
21616,643
1571,644
21621,644
1568,645
21617,645
1567,646
21608,646
1576,648
21627,648
1549,649
21532,649
1548,650
21533,650
1550,651
21572,651
1766,653
21777,653
1767,654
21781,654
1769,655
21785,655
1769,656
21785,656
1775,657
21799,657
1790,658
21809,658
1773,659
21800,659
1779,660
21794,660
1778,661
21789,661
1783,662
21793,662
1788,662
21819,662
1781,664
21787,664
1784,664
21783,664
1786,665
21786,665
1787,666
21813,666
1787,667
21813,667
1792,668
21810,668
1793,669
21808,669
1793,670
21808,670
1796,671
21806,671
1797,671
21805,671
1798,671
21803,671
1795,672
21807,672
1800,674
21822,674
1799,675
21829,675
1794,676
21811,676
1807,678
21818,678
1805,679
21815,679
1806,679
21817,679
1805,680
21815,680
1806,680
21817,680
1805,681
21815,681
1806,681
21817,681
1808,682
21804,682
1809,683
21848,683
1821,686
21830,686
1822,686
21832,686
1825,686
21872,686
1826,687
21871,687
1827,687
21868,687
1815,688
21828,688
1819,689
21824,689
1820,689
21821,689
1839,700
21846,700
1840,701
21841,701
1843,703
21863,703
1844,704
21850,704
1845,705
21858,705
1829,707
21864,707
1830,708
21870,708
1828,709
21839,709
1828,710
21839,710
1828,711
21839,711
1832,712
21862,712
1831,713
21847,713
1837,714
21842,714
1833,715
21840,715
1834,716
21845,716
1838,717
21837,717
1836,718
21861,718
1835,719
21869,719
1841,721
21866,721
1842,722
21843,722
1847,727
21875,727
1846,728
21876,728
1848,729
21860,729
1849,730
21852,730
1856,731
21857,731
1853,732
21853,732
1855,733
21844,733
1850,734
21877,734
1852,735
21855,735
1854,736
21856,736
1858,738
21881,738
1851,739
21865,739
1857,740
21892,740
1860,741
21890,741
1859,742
21905,742
1861,743
21880,743
1862,744
21874,744
1863,745
21854,745
1884,746
21904,746
1885,747
21900,747
1886,748
21884,748
1889,749
21912,749
1893,749
21878,749
1896,750
21879,750
1895,751
21913,751
1888,752
21886,752
1894,754
21918,754
1897,755
21896,755
1890,756
21914,756
1892,757
21916,757
1920,760
21921,760
1900,761
21915,761
1919,762
21952,762
1901,763
21917,763
1904,764
21920,764
1930,764
21933,764
1909,765
21928,765
1911,765
21926,765
1926,765
21925,765
1907,766
21931,766
1912,767
21936,767
1924,767
21943,767
1905,767
21922,767
1932,768
21941,768
1906,770
21924,770
1917,771
21949,771
1902,772
21948,772
1910,773
21934,773
1915,774
21950,774
1916,775
21951,775
1921,776
21947,776
1921,777
21947,777
1913,778
21944,778
1903,779
21940,779
1922,780
21942,780
1908,781
21938,781
1929,782
21929,782
1934,784
21945,784
1935,785
21930,785
1928,786
21937,786
1925,787
21939,787
1923,789
21923,789
1927,790
21927,790
1933,792
21935,792
1914,793
21946,793
1940,794
21958,794
1941,797
21963,797
1942,798
21988,798
1943,798
21967,798
1948,799
21961,799
1948,800
21961,800
1948,801
21961,801
1948,802
21961,802
1944,803
21954,803
1970,808
21953,808
1969,808
21987,808
1967,808
21974,808
1968,808
21973,808
1971,808
21956,808
1989,826
21997,826
1988,827
22013,827
1990,828
22017,828
1987,829
21998,829
1986,830
21993,830
2017,831
22031,831
2018,831
22038,831
2017,832
22031,832
2018,832
22038,832
2010,832
22045,832
1992,833
22018,833
1994,834
22014,834
1993,835
22001,835
2006,836
22024,836
2007,837
22041,837
2011,837
22042,837
2005,838
22005,838
1999,839
22020,839
2002,840
22019,840
1997,841
22022,841
1996,842
22003,842
2004,843
22021,843
2000,844
21999,844
1998,845
22012,845
2001,846
22002,846
2009,847
22036,847
2019,848
22026,848
2013,850
22035,850
2015,852
22040,852
2012,853
22025,853
2020,855
22039,855
2020,856
22039,856
2033,857
22080,857
2035,858
22059,858
2034,858
22065,858
2037,859
22072,859
2036,859
22053,859
2030,860
22027,860
2032,861
22078,861
2038,862
22074,862
2039,863
22069,863
2042,864
22066,864
2045,865
22058,865
2040,866
22056,866
2049,867
22050,867
2044,868
22087,868
2050,869
22063,869
2051,870
22071,870
2043,871
22054,871
2052,872
22052,872
2053,873
22084,873
2054,874
22086,874
2055,875
22064,875
2056,876
22068,876
2057,877
22073,877
2082,878
22119,878
2059,880
22057,880
2060,881
22077,881
2061,882
22061,882
2062,883
22062,883
2063,884
22083,884
2058,885
22075,885
2064,886
22079,886
2065,888
22070,888
2066,890
22055,890
2067,891
22067,891
2068,892
22076,892
2069,893
22081,893
2070,894
22085,894
2071,895
22108,895
2083,896
22094,896
2041,898
22047,898
2077,899
22112,899
2080,900
22091,900
2079,901
22098,901
2081,902
22114,902
2102,906
22124,906
2103,908
22125,908
2114,921
22129,921
2118,923
22153,923
2119,926
22134,926
2116,928
22133,928
2128,929
22136,929
2125,930
22161,930
2127,931
22162,931
2126,932
22139,932
2130,933
22157,933
2138,935
22149,935
2131,936
22141,936
2137,937
22150,937
2139,938
22148,938
2134,939
22159,939
2136,940
22144,940
2133,941
22151,941
2146,945
22168,945
2145,946
22165,946
2144,947
22170,947
2150,948
22174,948
2152,949
22173,949
2151,949
22147,949
2152,950
22173,950
2151,950
22147,950
2154,951
22167,951
2155,951
22181,951
2158,952
22184,952
2159,953
22175,953
2160,954
22185,954
2161,955
22183,955
2162,956
22182,956
2163,957
22180,957
2163,958
22180,958
2164,959
22196,959
2165,960
22191,960
2170,961
22192,961
2166,963
22187,963
2167,964
22193,964
2168,965
22194,965
2169,966
22186,966
2173,967
22190,967
2172,967
22195,967
2173,968
22190,968
2172,968
22195,968
2173,969
22190,969
2172,969
22195,969
2178,970
22199,970
2176,971
22198,971
2176,972
22198,972
2177,973
22226,973
2175,974
22163,974
2182,979
22169,979
2182,980
22169,980
2189,982
22200,982
2193,984
22215,984
2231,985
22243,985
2230,988
22253,988
2233,997
22254,997
2228,1002
22270,1002
2243,1003
22246,1003
2195,1004
22222,1004
2196,1005
22227,1005
2197,1006
22231,1006
2201,1007
22232,1007
2200,1008
22224,1008
2198,1009
22233,1009
2199,1010
22230,1010
2202,1011
22236,1011
2203,1012
22237,1012
2204,1013
22234,1013
2205,1014
22210,1014
2210,1015
22213,1015
2209,1016
22212,1016
2207,1017
22235,1017
2208,1018
22214,1018
2206,1019
22211,1019
2214,1020
22271,1020
2213,1021
22241,1021
2217,1022
22209,1022
2212,1023
22216,1023
2215,1024
22207,1024
2216,1025
22208,1025
2222,1026
22240,1026
2220,1027
22204,1027
2218,1028
22202,1028
2223,1030
22238,1030
2224,1031
22205,1031
2225,1032
22203,1032
2267,1033
22291,1033
2266,1034
22308,1034
2265,1035
22285,1035
2276,1040
22295,1040
2278,1041
22310,1041
2280,1042
22303,1042
2281,1043
22292,1043
2283,1044
22289,1044
2284,1045
22309,1045
2294,1046
22276,1046
2294,1047
22276,1047
2305,1049
22377,1049
2303,1050
22316,1050
2304,1051
22323,1051
2299,1052
22317,1052
2301,1055
22326,1055
2302,1056
22315,1056
2316,1063
22328,1063
2324,1064
22368,1064
2321,1065
22353,1065
2322,1066
22344,1066
2327,1067
22330,1067
2330,1068
22346,1068
2329,1069
22361,1069
2376,1075
22396,1075
2379,1076
22393,1076
2378,1077
22388,1077
2382,1078
22447,1078
2385,1079
22407,1079
2374,1080
22391,1080
2383,1081
22451,1081
2381,1082
22449,1082
2381,1083
22449,1083
2377,1084
22397,1084
2371,1085
22399,1085
2372,1086
22341,1086
2384,1087
22402,1087
2384,1088
22402,1088
2380,1089
22448,1089
2386,1090
22410,1090
2435,1112
22435,1112
2432,1113
22474,1113
2432,1114
22474,1114
2446,1118
22459,1118
2466,1119
22507,1119
2467,1120
22511,1120
2468,1121
22519,1121
2469,1122
22499,1122
2470,1123
22522,1123
2471,1124
22500,1124
2472,1125
22508,1125
2475,1126
22502,1126
2476,1127
22501,1127
2473,1128
22504,1128
2474,1129
22482,1129
2477,1130
22506,1130
2478,1131
22496,1131
2479,1132
22526,1132
2480,1133
22505,1133
2480,1134
22505,1134
2481,1135
22498,1135
2482,1136
22480,1136
2483,1137
22484,1137
2484,1138
22510,1138
2447,1139
22478,1139
2449,1139
22456,1139
2448,1140
22468,1140
2452,1141
22454,1141
2451,1142
22471,1142
2450,1143
22465,1143
2450,1144
22465,1144
2453,1145
22467,1145
2457,1146
22492,1146
2458,1147
22460,1147
2455,1148
22475,1148
2454,1149
22461,1149
2456,1150
22462,1150
2463,1151
22497,1151
2460,1152
22470,1152
2462,1153
22479,1153
2461,1154
22464,1154
2459,1155
22466,1155
2464,1156
22463,1156
2486,1159
22518,1159
2486,1160
22518,1160
2495,1161
22485,1161
2496,1162
22525,1162
2490,1163
22483,1163
2499,1165
22523,1165
2501,1166
22490,1166
2501,1167
22490,1167
2501,1168
22490,1168
2508,1169
22551,1169
2509,1171
22554,1171
2487,1172
22514,1172
2489,1173
22516,1173
2498,1175
22521,1175
2500,1176
22520,1176
2497,1177
22486,1177
2502,1178
22488,1178
2507,1179
22553,1179
2518,1181
22538,1181
2517,1182
22536,1182
2514,1183
22532,1183
2530,1184
22542,1184
2526,1185
22562,1185
2510,1186
22512,1186
2511,1187
22493,1187
2525,1188
22575,1188
2512,1189
22524,1189
2515,1190
22534,1190
2513,1191
22489,1191
2516,1192
22530,1192
2522,1194
22550,1194
2523,1195
22539,1195
2521,1196
22543,1196
2524,1197
22545,1197
2520,1198
22503,1198
2519,1199
22540,1199
2528,1200
22535,1200
2527,1201
22531,1201
2554,1214
22616,1214
2558,1219
22591,1219
2559,1220
22578,1220
2556,1221
22611,1221
2557,1224
22619,1224
2568,1227
22587,1227
2569,1228
22613,1228
2571,1230
22606,1230
2573,1239
22557,1239
2573,1240
22557,1240
2574,1241
22561,1241
2575,1242
22560,1242
2576,1243
22620,1243
2585,1244
2586,1244
2587,1244
2588,1244
2589,1244
2590,1244
2591,1244
2592,1244
2593,1244
2594,1244
2595,1244
2596,1244
2597,1244
22564,1244
22565,1244
22579,1244
22580,1244
22582,1244
22584,1244
22597,1244
22598,1244
22602,1244
22610,1244
22622,1244
22627,1244
22629,1244
2580,1245
2581,1245
2582,1245
2583,1245
2584,1245
22600,1245
22612,1245
22618,1245
22624,1245
22625,1245
2601,1250
22608,1250
2599,1251
22604,1251
2600,1252
22590,1252
2602,1253
22566,1253
2603,1254
22599,1254
2607,1256
22645,1256
2608,1257
22641,1257
2615,1258
22585,1258
2612,1259
22638,1259
2613,1260
22576,1260
2614,1261
22607,1261
2616,1262
22586,1262
3806,1266
32432,1266
3807,1267
23398,1267
3807,1268
23398,1268
3808,1269
32435,1269
3811,1271
27831,1271
3812,1272
27828,1272
3814,1274
23409,1274
3815,1274
32437,1274
3816,1275
32434,1275
3822,1276
32439,1276
3820,1277
23417,1277
3823,1278
32431,1278
3818,1279
23418,1279
3821,1280
27835,1280
3817,1281
27839,1281
3824,1282
27836,1282
3825,1283
27837,1283
3826,1284
32442,1284
3827,1285
32427,1285
3830,1286
23400,1286
3829,1287
23402,1287
3831,1288
32440,1288
3832,1289
32433,1289
3833,1290
27838,1290
3834,1291
23406,1291
3889,1298
32458,1298
3888,1299
32457,1299
3891,1300
32450,1300
3894,1301
32464,1301
3893,1302
23454,1302
3887,1303
23452,1303
3892,1304
32463,1304
3895,1305
32456,1305
3890,1306
23449,1306
3897,1307
32454,1307
3900,1308
32451,1308
3903,1309
23444,1309
3902,1310
32444,1310
3901,1311
23442,1311
